from_stop_id,from_trip_id,to_stop_id,to_trip_id,transfer_type
NSR:Quay:51228,SKY:ServiceJourney:445-178551-17087183,NSR:Quay:51229,SKY:ServiceJourney:465-178551-17093290,1
NSR:Quay:56538,SKY:ServiceJourney:495-180505-17087443,NSR:Quay:56538,SKY:ServiceJourney:496-180505-17087616,1
NSR:Quay:51886,SKY:ServiceJourney:50E-179600-16807484,NSR:Quay:51886,SKY:ServiceJourney:53-179600-16807330,1
NSR:Quay:103636,SKY:ServiceJourney:552-175905-16409568,NSR:Quay:103637,SKY:ServiceJourney:620-175905-16409934,1
NSR:Quay:58338,SKY:ServiceJourney:310-179276-16817390,NSR:Quay:58338,SKY:ServiceJourney:300-179276-17158384,1
NSR:Quay:49644,SKY:ServiceJourney:606-180400-17337025,NSR:Quay:49644,SKY:ServiceJourney:610-180400-17337121,1
NSR:Quay:49625,SKY:ServiceJourney:602-178874-15993368,NSR:Quay:49626,SKY:ServiceJourney:610-178874-15993500,1
NSR:Quay:53043,SKY:ServiceJourney:496-180503-17087621,NSR:Quay:53043,SKY:ServiceJourney:484-180503-17087810,1
NSR:Quay:51885,SKY:ServiceJourney:53-179600-16807318,NSR:Quay:51885,SKY:ServiceJourney:50E-179600-16807482,1
NSR:Quay:55121,SKY:ServiceJourney:460-178509-17091899,NSR:Quay:55121,SKY:ServiceJourney:441-178509-17091996,1
NSR:Quay:52078,SKY:ServiceJourney:479-180509-17086810,NSR:Quay:52077,SKY:ServiceJourney:460E-180509-17087605,1
NSR:Quay:56912,SKY:ServiceJourney:342-179580-16974161,NSR:Quay:56912,SKY:ServiceJourney:330-179580-16974142,1
NSR:Quay:51058,SKY:ServiceJourney:554-175870-16420944,NSR:Quay:51058,SKY:ServiceJourney:620-175870-16421006,1
NSR:Quay:53046,SKY:ServiceJourney:483-180501-17087711,NSR:Quay:53043,SKY:ServiceJourney:485-180501-17087885,1
NSR:Quay:53047,SKY:ServiceJourney:499-180509-17087355,NSR:Quay:53047,SKY:ServiceJourney:495-180509-17087484,1
NSR:Quay:49625,SKY:ServiceJourney:610-180400-17337093,NSR:Quay:49626,SKY:ServiceJourney:603-180400-17337000,1
NSR:Quay:57072,SKY:ServiceJourney:923-179010-17299194,NSR:Quay:57072,SKY:ServiceJourney:922-179010-17136545,1
NSR:Quay:51885,SKY:ServiceJourney:53-179588-16879318,NSR:Quay:51885,SKY:ServiceJourney:50E-179588-15994579,1
NSR:Quay:53043,SKY:ServiceJourney:490-180509-17086919,NSR:Quay:53043,SKY:ServiceJourney:484-180509-17087794,1
NSR:Quay:52078,SKY:ServiceJourney:471-180509-17086733,NSR:Quay:52077,SKY:ServiceJourney:460-180509-17087020,1
NSR:Quay:57428,SKY:ServiceJourney:340-179281-17161431,NSR:Quay:57428,SKY:ServiceJourney:344-179281-15985523,1
NSR:Quay:54417,SKY:ServiceJourney:610-179590-15993407,NSR:Quay:54417,SKY:ServiceJourney:73-179590-15993964,1
NSR:Quay:52078,SKY:ServiceJourney:471-178712-17092968,NSR:Quay:52077,SKY:ServiceJourney:460-178712-17092818,1
NSR:Quay:49644,SKY:ServiceJourney:606-179053-17138376,NSR:Quay:49644,SKY:ServiceJourney:610-179053-17138504,1
NSR:Quay:102566,SKY:ServiceJourney:330-179276-16817331,NSR:Quay:102565,SKY:ServiceJourney:300E-179276-17158361,1
NSR:Quay:57612,SKY:ServiceJourney:901-179548-17257923,NSR:Quay:57612,SKY:ServiceJourney:900-179548-17257864,1
NSR:Quay:52078,SKY:ServiceJourney:479-180507-17086835,NSR:Quay:52077,SKY:ServiceJourney:465-180507-17087533,1
NSR:Quay:58337,SKY:ServiceJourney:300-179580-16973992,NSR:Quay:58336,SKY:ServiceJourney:310-179580-17235822,1
